MUNICÍPIO,MÊS,PRODUTO,ESTADO,REGIÃO,PREÇO PONDERADO,PREÇO PONDERADO MÍNIMO,PREÇO PONDERADO MÁXIMO,NÚMERO DE POSTOS PESQUISADOS
CACHOEIRA DO SUL,2019-08-31,ETANOL HIDRATADO,RIO GRANDE DO SUL,SUL,3.856,3.77,3.999,3.0
CORONEL FABRICIANO,2019-08-31,ÓLEO DIESEL,MINAS GERAIS,SUDESTE,3.575,3.499,3.625,5.0
ITAITUBA,2019-08-31,ÓLEO DIESEL,PARA,NORTE,3.635,3.569,3.74,6.0
JUAZEIRO,2019-08-31,ÓLEO DIESEL S10,BAHIA,NORDESTE,3.759,3.699,3.859,9.0
SAO FRANCISCO DE ITABAPOANA,2019-08-31,ÓLEO DIESEL S10,RIO DE JANEIRO,SUDESTE,3.548,3.43,3.74,4.0
SOROCABA,2019-08-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.484,3.369,3.699,21.0
FRANCA,2019-08-31,GASOLINA COMUM,SAO PAULO,SUDESTE,4.266,4.199,4.299,22.0
SAO LUIZ GONZAGA,2019-08-31,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,4.75,4.69,4.8,5.0
ICO,2019-08-31,GLP,CEARA,NORDESTE,69.333,68.0,70.0,3.0
OLIMPIA,2019-08-31,GLP,SAO PAULO,SUDESTE,54.0,51.0,60.0,6.0
SANTAREM,2019-08-31,GLP,PARA,NORTE,77.05,73.0,85.0,20.0
MOGI MIRIM,2019-08-31,GNV,SAO PAULO,SUDESTE,2.975,2.799,3.15,2.0
ARARUAMA,2019-01-31,ETANOL HIDRATADO,RIO DE JANEIRO,SUDESTE,3.432096774193548,3.087193548387097,3.759193548387097,55.0
BEBEDOURO,2018-12-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.581,2.499,2.655,10.0
CRATEUS,2019-01-31,ETANOL HIDRATADO,CEARA,NORDESTE,3.6455483870967744,3.572935483870968,3.7083225806451607,27.0
DIADEMA,2019-01-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.623838709677419,2.3944838709677416,2.960516129032258,80.0
DRACENA,2019-01-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.307419354838709,3.22,3.3985483870967745,34.0
ALENQUER,2018-12-31,ÓLEO DIESEL S10,PARA,NORTE,4.1,4.1,4.1,2.0
ARARUAMA,2019-01-31,ÓLEO DIESEL S10,RIO DE JANEIRO,SUDESTE,3.6231612903225803,3.4206451612903224,3.8893870967741933,52.0
MARICA,2019-01-31,ÓLEO DIESEL S10,RIO DE JANEIRO,SUDESTE,3.6709032258064513,3.4135161290322573,3.82158064516129,45.0
SAO JOAO DE MERITI,2018-12-31,ÓLEO DIESEL S10,RIO DE JANEIRO,SUDESTE,3.616,3.499,3.799,8.0
UNIAO DA VITORIA,2019-01-31,ÓLEO DIESEL S10,PARANA,SUL,3.3933548387096772,3.2151612903225804,3.55,40.0
MORRINHOS,2018-12-31,GASOLINA COMUM,GOIAS,CENTRO OESTE,4.485,4.249,4.98,11.0
SAO JOAO DA BOA VISTA,2019-01-31,GASOLINA COMUM,SAO PAULO,SUDESTE,3.9536129032258067,3.7842258064516123,4.135129032258064,70.0
ARAUCARIA,2019-01-31,GLP,PARANA,SUL,65.10696774193548,60.0,70.0,65.0
CONCORDIA,2018-12-31,GLP,SANTA CATARINA,SUL,69.225,68.0,70.0,4.0
EUNAPOLIS,2018-12-31,GLP,BAHIA,NORDESTE,65.0,60.0,68.0,6.0
LAGUNA,2018-12-31,GLP,SANTA CATARINA,SUL,69.5,69.0,71.0,4.0
VINHEDO,2019-01-31,GLP,SAO PAULO,SUDESTE,70.94999999999999,67.99999999999999,72.9,20.0
VITORIA DE SANTO ANTAO,2019-01-31,GLP,PERNAMBUCO,NORDESTE,61.74193548387096,60.0,65.3225806451613,50.0
ANAPOLIS,2019-02-28,ETANOL HIDRATADO,GOIAS,CENTRO OESTE,2.6823571428571427,2.488142857142857,2.933607142857143,80.0
LAGES,2019-02-28,ETANOL HIDRATADO,SANTA CATARINA,SUL,3.44775,3.1795357142857146,3.7473928571428567,35.0
NITEROI,2019-02-28,ETANOL HIDRATADO,RIO DE JANEIRO,SUDESTE,3.6945714285714284,3.0650714285714287,4.1775714285714285,99.0
NOVA IGUACU,2019-02-28,ETANOL HIDRATADO,RIO DE JANEIRO,SUDESTE,3.5401071428571425,3.077571428571429,4.038285714285715,84.0
VOTORANTIM,2019-02-28,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.5549642857142856,2.409357142857143,2.709714285714286,50.0
FLORIANOPOLIS,2019-02-28,ÓLEO DIESEL,SANTA CATARINA,SUL,3.6289999999999996,3.51875,3.724,19.0
PIRACICABA,2019-02-28,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.3242142857142856,3.023535714285715,3.574357142857142,71.0
JI-PARANA,2019-02-28,ÓLEO DIESEL S10,RONDONIA,NORTE,3.7441785714285714,3.6707142857142863,3.848821428571428,55.0
IGARASSU,2019-02-28,GASOLINA COMUM,PERNAMBUCO,NORDESTE,3.9871785714285717,3.9389642857142855,4.131142857142857,40.0
SAPIRANGA,2019-02-28,GASOLINA COMUM,RIO GRANDE DO SUL,SUL,3.984392857142857,3.9557499999999997,4.018285714285715,45.0
CIANORTE,2019-02-28,GLP,PARANA,SUL,68.32,64.9,75.0,75.0
SANTO ANTONIO DA PLATINA,2019-02-28,GLP,PARANA,SUL,64.667,60.0,66.0,60.0
NOVA IGUACU,2019-02-28,GNV,RIO DE JANEIRO,SUDESTE,3.0815,2.9240000000000004,3.199,38.0
INDAIATUBA,2019-03-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4591935483870966,3.369967741935484,3.559645161290323,49.0
LAGARTO,2019-03-31,ÓLEO DIESEL,SERGIPE,NORDESTE,3.4549999999999996,3.3835483870967744,3.5488709677419354,30.0
BRUMADO,2019-03-31,ÓLEO DIESEL S10,BAHIA,NORDESTE,3.7329999999999997,3.540967741935484,3.984483870967742,42.0
JUNDIAI,2019-03-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.566193548387097,3.3100645161290325,3.9800967741935485,104.0
